char_ngram,language,count
x,ar,1354
y,ar,6178
z,ar,965
a,tr,3087446
b,tr,872284
c,tr,287725
d,tr,1179446
e,tr,2570344
f,tr,123395
g,tr,354940
h,tr,361284
i,tr,2489068
j,tr,27517
k,tr,1120657
l,tr,1491390
m,tr,1302458
n,tr,2067200
o,tr,861118
p,tr,227406
q,tr,1414
r,tr,1812313
s,tr,925207
t,tr,848528
u,tr,959861
v,tr,273403
w,tr,16221
x,tr,4152
y,tr,1021627
z,tr,444113
a,sh,2492525
b,sh,353041
c,sh,246373
d,sh,785366
e,sh,1999964
f,sh,81013
g,sh,317455
h,sh,161456
i,sh,2275763
j,sh,1164221
k,sh,801235
l,sh,781407
m,sh,672903
n,sh,1526461
o,sh,1969660
p,sh,745925
q,sh,1268
r,sh,1302791
s,sh,1027565
t,sh,1040650
u,sh,1107106
v,sh,808924
w,sh,4524
x,sh,6745
y,sh,4696
z,sh,501210
a,zu,132161
b,zu,30970
c,zu,8246
d,zu,19458
e,zu,112737
f,zu,9132
g,zu,28255
h,zu,65043
i,zu,124311
j,zu,3013
k,zu,60153
l,zu,72682
m,zu,42392
n,zu,83197
o,zu,72736
p,zu,14209
q,zu,6766
r,zu,6927
s,zu,70019
t,zu,30000
u,zu,81417
v,zu,5523
w,zu,30390
x,zu,4704
y,zu,23528
z,zu,25662
a,be,33753
b,be,6123
c,be,17324
d,be,11179
e,be,37422
f,be,6070
g,be,9387
h,be,8018
i,be,29337
j,be,886
k,be,8765
l,be,14651
m,be,19088
n,be,31126
o,be,24712
p,be,8870
q,be,1135
r,be,20012
s,be,20413
t,be,30895
u,be,9724
v,be,2354
w,be,4739
x,be,2602
y,be,6264
z,be,922
a,yo,36450
b,yo,6868
c,yo,1153
d,yo,3828
e,yo,11951
f,yo,5215
g,yo,4780
h,yo,1716
i,yo,31315
j,yo,3562
k,yo,7373
l,yo,10535
m,yo,4055
n,yo,22350
o,yo,15417
p,yo,6022
q,yo,77
r,yo,8145
s,yo,6563
t,yo,12494
u,yo,9720
v,yo,187
w,yo,7679
x,yo,296
y,yo,4584
z,yo,140
a,pa,40617
b,pa,7934
c,pa,22889
d,pa,17999
e,pa,48179
f,pa,9031
g,pa,11479
h,pa,10445
i,pa,39696
j,pa,1022
k,pa,9127
l,pa,19325
m,pa,24447
n,pa,41435
o,pa,33547
p,pa,12966
q,pa,1207
r,pa,27229
s,pa,30588
t,pa,42016
u,pa,15058
v,pa,4450
w,pa,5948
x,pa,3404
y,pa,7796
z,pa,991
a,si,44606
b,si,8941
c,si,21140
d,si,14737
e,si,46746
f,si,9700
g,si,11347
h,si,16128
i,si,37683
j,si,1908
k,si,9009
l,si,19161
m,si,20407
n,si,36466
o,si,33118
p,si,10305
q,si,954
r,si,28889
s,si,28198
t,si,35200
u,si,13672
v,si,4302
w,si,7441
x,si,1926
y,si,11521
z,si,1425
a,cy,565562
b,cy,105448
c,cy,202499
d,cy,534383
e,cy,556903
f,cy,229569
g,cy,243962
h,cy,213594
i,cy,476099
j,cy,4742
k,cy,24001
l,cy,390146
m,cy,167897
n,cy,476658
o,cy,373581
p,cy,86041
q,cy,2692
r,cy,423626
s,cy,273267
t,cy,250886
u,cy,186770
v,cy,12749
w,cy,269168
x,cy,7689
y,cy,394362
z,cy,4763
a,zh,172908
b,zh,39689
c,zh,76903
d,zh,69559
e,zh,155158
f,zh,36535
g,zh,33957
h,zh,62280
i,zh,112565
j,zh,8075
k,zh,19309
l,zh,68850
m,zh,45545
n,zh,107616
o,zh,110238
p,zh,40149
q,zh,2076
r,zh,96462
s,zh,97309
t,zh,102932
u,zh,45313
v,zh,18167
w,zh,27694
x,zh,6741
y,zh,28846
z,zh,4989
a,sr,2836103
b,sr,401261
c,sr,172465
d,sr,995752
e,sr,2187742
f,sr,44243
g,sr,347476
h,sr,149494
i,sr,2138251
j,sr,965148
k,sr,680545
l,sr,796519
m,sr,1080353
n,sr,1283495
o,sr,2241893
p,sr,560868
q,sr,776
r,sr,986527
s,sr,1113383
t,sr,1137415
u,sr,862951
v,sr,755921
w,sr,7790
x,sr,2275
y,sr,17182
z,sr,392191
a,uk,87659
b,uk,17532
c,uk,43912
d,uk,36146
e,uk,107713
f,uk,17275
g,uk,24364
h,uk,26060
i,uk,79105
j,uk,2922
k,uk,29894
l,uk,47005
m,uk,41961
n,uk,69265
o,uk,79318
p,uk,36242
q,uk,3424
r,uk,59825
s,uk,54950
t,uk,77937
u,uk,30497
v,uk,9701
w,uk,12207
x,uk,9429
y,uk,16540
z,uk,2473
a,ca,3830109
b,ca,423361
c,ca,1109900
d,ca,1121582
e,ca,3972566
f,ca,314642
g,ca,443954
h,ca,366817
i,ca,2084210
j,ca,119802
k,ca,61868
l,ca,1849899
m,ca,1072448
n,ca,2052444
o,ca,1766782
p,ca,911146
q,ca,428290
r,ca,2245875
s,ca,2519786
t,ca,2028130
u,ca,1391668
v,ca,494030
w,ca,29091
x,ca,206308
y,ca,96831
z,ca,32068
a,yi,5810
b,yi,2209
c,yi,3834
d,yi,2463
e,yi,7454
f,yi,1292
g,yi,1822
h,yi,1061
i,yi,4550
j,yi,148
k,yi,1583
l,yi,4620
m,yi,2643
n,yi,4548
o,yi,6660
p,yi,2350
q,yi,30
r,yi,3210
s,yi,5615
t,yi,6679
u,yi,1366
v,yi,566
